contextes,questions,réponses
"(11)
(12)
(13)
(14)
(15)
plusieurs législations sectorielles spécifiques dans des domaines qui requièrent des dispositions plus précises. Le
présent règlement laisse aussi aux États membres une marge de manœuvre pour préciser ses règles, y compris en ce
qui concerne le traitement de catégories particulières de données à caractère personnel (ci-après dénommées
«données sensibles»). À cet égard, le présent règlement n'exclut pas que le droit des États membres précise les
circonstances des situations particulières de traitement y compris en fixant de manière plus précise les conditions
dans lesquelles le traitement de données à caractère personnel est licite.
Une protection effective des données à caractère personnel dans l'ensemble de l'Union exige de renforcer et de
préciser les droits des personnes concernées et les obligations de ceux qui effectuent et déterminent le traitement des",Quelle marge de manœuvre le présent règlement laisse-t-il aux États membres concernant le traitement des données personnelles ?,"Le présent règlement laisse aux États membres une marge de manœuvre pour préciser ses règles, y compris en ce qui concerne le traitement de catégories particulières de données à caractère personnel, appelées 'données sensibles', et pour fixer de manière plus précise les conditions dans lesquelles le traitement de données à caractère personnel est licite."
"préciser les droits des personnes concernées et les obligations de ceux qui effectuent et déterminent le traitement des
données à caractère personnel, ainsi que de prévoir, dans les États membres, des pouvoirs équivalents de surveillance
et de contrôle du respect des règles relatives à la protection des données à caractère personnel et des sanctions
équivalentes pour les violations.
L'article 16, paragraphe 2, du traité sur le fonctionnement de l'Union européenne donne mandat au Parlement
européen et au Conseil pour fixer les règles relatives à la protection des personnes physiques à l'égard du traitement
des données à caractère personnel ainsi que les règles relatives à la libre circulation des données à caractère
personnel.
Afin d'assurer un niveau cohérent de protection des personnes physiques dans l'ensemble de l'Union, et d'éviter que
des divergences n'entravent la libre circulation des données à caractère personnel au sein du marché intérieur, un","Quel est le mandat donné au Parlement européen et au Conseil par l'article 16, paragraphe 2, du traité sur le fonctionnement de l'Union européenne ?","L'article 16, paragraphe 2, du traité sur le fonctionnement de l'Union européenne donne mandat au Parlement européen et au Conseil pour fixer les règles relatives à la protection des personnes physiques à l'égard du traitement des données à caractère personnel ainsi que les règles relatives à la libre circulation des données à caractère personnel."
"des divergences n'entravent la libre circulation des données à caractère personnel au sein du marché intérieur, un
règlement est nécessaire pour garantir la sécurité juridique et la transparence aux opérateurs économiques, y compris
les micro, petites et moyennes entreprises, pour offrir aux personnes physiques de tous les États membres un même
niveau de droits opposables et d'obligations et de responsabilités pour les responsables du traitement et les sous-
traitants, et pour assurer une surveillance cohérente du traitement des données à caractère personnel, et des sanctions
équivalentes dans tous les États membres, ainsi qu'une coopération efficace entre les autorités de contrôle des
différents États membres. Pour que le marché intérieur fonctionne correctement, il est nécessaire que la libre
circulation des données à caractère personnel au sein de l'Union ne soit ni limitée ni interdite pour des motifs liés à la",Pourquoi un règlement est-il nécessaire pour la libre circulation des données à caractère personnel au sein du marché intérieur ?,"Un règlement est nécessaire pour garantir la sécurité juridique et la transparence aux opérateurs économiques, offrir aux personnes physiques un même niveau de droits et obligations, assurer une surveillance cohérente du traitement des données, et permettre une coopération efficace entre les autorités de contrôle des différents États membres."
"circulation des données à caractère personnel au sein de l'Union ne soit ni limitée ni interdite pour des motifs liés à la
protection des personnes physiques à l'égard du traitement des données à caractère personnel. Pour tenir compte de la
situation particulière des micro, petites et moyennes entreprises, le présent règlement comporte une dérogation pour
les organisations occupant moins de 250 employés en ce qui concerne la tenue de registres. Les institutions et organes
de l'Union, et les États membres et leurs autorités de contrôle sont en outre encouragés à prendre en considération les
besoins spécifiques des micro, petites et moyennes entreprises dans le cadre de l'application du présent règlement.
Pour définir la notion de micro, petites et moyennes entreprises, il convient de se baser sur l'article 2 de l'annexe de la
recommandation 2003/361/CE de la Commission.
La protection conférée par le présent règlement devrait s'appliquer aux personnes physiques, indépendamment de leur","Quelle dérogation le règlement prévoit-il pour les micro, petites et moyennes entreprises concernant la tenue de registres ?",Le règlement comporte une dérogation pour les organisations occupant moins de 250 employés en ce qui concerne la tenue de registres.
"recommandation 2003/361/CE de la Commission.
La protection conférée par le présent règlement devrait s'appliquer aux personnes physiques, indépendamment de leur
nationalité ou de leur lieu de résidence, en ce qui concerne le traitement de leurs données à caractère personnel. Le
présent règlement ne couvre pas le traitement des données à caractère personnel qui concernent les personnes
morales, et en particulier des entreprises dotées de la personnalité juridique, y compris le nom, la forme juridique et
les coordonnées de la personne morale.
15/07/2025 10:16 Le règlement général sur la protection des données - RGPD | CNIL
https://www.cnil.fr/fr/reglement-europeen-protection-donnees 7/47",À qui s'applique la protection conférée par le règlement mentionné dans le texte ?,"La protection s'applique aux personnes physiques, indépendamment de leur nationalité ou de leur lieu de résidence, en ce qui concerne le traitement de leurs données à caractère personnel."
"(16)
(17)
(18)
(19)
Afin d'éviter de créer un risque grave de contournement, la protection des personnes physiques devrait être neutre sur
le plan technologique et ne devrait pas dépendre des techniques utilisées. Elle devrait s'appliquer aux traitements de
données à caractère personnel à l'aide de procédés automatisés ainsi qu'aux traitements manuels, si les données à
caractère personnel sont contenues ou destinées à être contenues dans un fichier. Les dossiers ou ensembles de
dossiers de même que leurs couvertures, qui ne sont pas structurés selon des critères déterminés ne devraient pas
relever du champ d'application du présent règlement.
Le présent règlement ne s'applique pas à des questions de protection des libertés et droits fondamentaux ou de libre
flux des données à caractère personnel concernant des activités qui ne relèvent pas du champ d'application du droit de",À quelles conditions le règlement s'applique-t-il aux traitements de données à caractère personnel ?,"Le règlement s'applique aux traitements de données à caractère personnel à l'aide de procédés automatisés ainsi qu'aux traitements manuels, si les données à caractère personnel sont contenues ou destinées à être contenues dans un fichier."
"flux des données à caractère personnel concernant des activités qui ne relèvent pas du champ d'application du droit de
l'Union, telles que les activités relatives à la sécurité nationale. Le présent règlement ne s'applique pas au traitement
des données à caractère personnel par les États membres dans le contexte de leurs activités ayant trait à la politique
étrangère et de sécurité commune de l'Union.
Le règlement (CE) no 45/2001 du Parlement européen et du Conseil s'applique au traitement des données à caractère
personnel par les institutions, organes et organismes de l'Union. Le règlement (CE) no 45/2001 et les autres actes
juridiques de l'Union applicables audit traitement des données à caractère personnel devraient être adaptés aux
principes et aux règles fixés dans le présent règlement et appliqués à la lumière du présent règlement. Pour mettre en
place un cadre de protection des données solide et cohérent dans l'Union, il convient, après l'adoption du présent",À quelles activités le présent règlement ne s'applique-t-il pas ?,"Le présent règlement ne s'applique pas au traitement des données à caractère personnel concernant des activités qui ne relèvent pas du champ d'application du droit de l'Union, telles que les activités relatives à la sécurité nationale, ainsi qu'au traitement des données à caractère personnel par les États membres dans le contexte de leurs activités ayant trait à la politique étrangère et de sécurité commune de l'Union."
"place un cadre de protection des données solide et cohérent dans l'Union, il convient, après l'adoption du présent
règlement, d'apporter les adaptations nécessaires au règlement (CE) no 45/2001 de manière à ce que celles-ci
s'appliquent en même temps que le présent règlement.
Le présent règlement ne s'applique pas aux traitements de données à caractère personnel effectués par une personne
physique au cours d'activités strictement personnelles ou domestiques, et donc sans lien avec une activité
professionnelle ou commerciale. Les activités personnelles ou domestiques pourraient inclure l'échange de
correspondance et la tenue d'un carnet d'adresses, ou l'utilisation de réseaux sociaux et les activités en ligne qui ont
lieu dans le cadre de ces activités. Toutefois, le présent règlement s'applique aux responsables du traitement ou aux
sous-traitants qui fournissent les moyens de traiter des données à caractère personnel pour de telles activités
personnelles ou domestiques.",À quelles activités le présent règlement ne s'applique-t-il pas ?,"Le présent règlement ne s'applique pas aux traitements de données à caractère personnel effectués par une personne physique au cours d'activités strictement personnelles ou domestiques, comme l'échange de correspondance, la tenue d'un carnet d'adresses, ou l'utilisation de réseaux sociaux et les activités en ligne dans ce cadre."
"sous-traitants qui fournissent les moyens de traiter des données à caractère personnel pour de telles activités
personnelles ou domestiques.
La protection des personnes physiques à l'égard du traitement des données à caractère personnel par les autorités
compétentes à des fins de prévention et de détection des infractions pénales, d'enquêtes et de poursuites en la matière
ou d'exécution de sanctions pénales, y compris la protection contre les menaces pour la sécurité publique et la
prévention de telles menaces et la libre circulation de ces données, fait l'objet d'un acte juridique spécifique de
l'Union. Le présent règlement ne devrait dès lors pas s'appliquer aux activités de traitement effectuées à ces fins.
Toutefois, les données à caractère personnel traitées par des autorités publiques en vertu du présent règlement
devraient, lorsqu'elles sont utilisées à ces fins, être régies par un acte juridique de l'Union plus spécifique, à savoir la",À quelles activités le présent règlement ne devrait-il pas s'appliquer ?,"Le présent règlement ne devrait pas s'appliquer aux activités de traitement effectuées à des fins de prévention et de détection des infractions pénales, d'enquêtes et de poursuites en la matière ou d'exécution de sanctions pénales, y compris la protection contre les menaces pour la sécurité publique et la prévention de telles menaces."
"devraient, lorsqu'elles sont utilisées à ces fins, être régies par un acte juridique de l'Union plus spécifique, à savoir la
directive (UE) 2016/680 du Parlement européen et du Conseil. Les États membres peuvent confier à des autorités
compétentes au sens de la directive (UE) 2016/680 des missions qui ne sont pas nécessairement effectuées à des fins
de prévention et de détection des infractions pénales, d'enquêtes et de poursuites en la matière ou d'exécution de
sanctions pénales, y compris la protection contre les menaces pour la sécurité publique et la prévention de telles
menaces, de manière à ce que le traitement de données à caractère personnel à ces autres fins, pour autant qu'il relève
du champ d'application du droit de l'Union, relève du champ d'application du présent règlement.
15/07/2025 10:16 Le règlement général sur la protection des données - RGPD | CNIL
https://www.cnil.fr/fr/reglement-europeen-protection-donnees 8/47",Quelle directive de l'Union européenne régit le traitement des données à caractère personnel à des fins autres que la prévention et la détection des infractions pénales ?,La directive (UE) 2016/680 du Parlement européen et du Conseil régit le traitement des données à caractère personnel à des fins autres que la prévention et la détection des infractions pénales.
